epoch,connect_f,rate_type,block_1,block_2,block_3,block_4,block_5,block_6,block_7
0,IAND,A_l,0.0330907197685929,0.04140363727603946,0.05617901011630222,0.05205413887092659,0.059744654475031675,0.05570640220298423,0.06431730803068694
1,IAND,A_l,0.03967564989317645,0.05374319327844155,0.07465009216789727,0.06452323294974663,0.0817821605785473,0.08344289418813346,0.09003840266047296
2,IAND,A_l,0.04490491801554018,0.054418542363622174,0.07159915700689092,0.07870852839839351,0.11386781984621341,0.1348446682766751,0.16517982826576577
3,IAND,A_l,0.04204952112726263,0.053078907567101555,0.08303047515250542,0.08828853916477512,0.15594248728709176,0.191912401903857,0.21598692198057431
4,IAND,A_l,0.04469104258863775,0.06278473246204962,0.09003745757781707,0.10016547022639094,0.19362018344638585,0.2230296091990428,0.2373943157024212
5,IAND,A_l,0.05358665134455707,0.07109730415516072,0.10715205175382597,0.11085475887264215,0.21894159402933203,0.24668568104237046,0.24783792581644146
6,IAND,A_l,0.052151168654630854,0.081023345659445,0.11434076068637605,0.11895547471604906,0.23842005686716988,0.2681855897645693,0.25987504838823194
7,IAND,A_l,0.05582975576052795,0.08474764630601213,0.12107014011692355,0.12687720908774985,0.2538587553007109,0.2800046903593046,0.26884391715934686
8,IAND,A_l,0.056744871510041726,0.08356580916825716,0.1340625608289564,0.1288406011220571,0.2667142507192251,0.28897355913041944,0.27296021607545046
9,IAND,A_l,0.05977052235388542,0.09046035306947725,0.1412764154038988,0.14761434159837328,0.27354987891944677,0.2981500024194116,0.2796625360712275
10,IAND,A_l,0.06618212351390906,0.09127635246998557,0.14579427994049352,0.1577044134741431,0.2798484596046242,0.30099047411669483,0.2842731647663288
11,IAND,A_l,0.0728235557541117,0.09068605813894187,0.15823930233448472,0.16977761242840742,0.2930574159364442,0.30593198484128664,0.2894990938203829
12,IAND,A_l,0.07569677483391117,0.09386719561911919,0.1624482794924899,0.1836538486652546,0.3020215421109586,0.31086222330729163,0.2939387141047297
13,IAND,A_l,0.07859310642019049,0.0970797517278173,0.1680106279012319,0.18555655780139269,0.30893865361943984,0.3122429375175957,0.2945485158009572
14,IAND,A_l,0.07847809361981915,0.10542324910292754,0.1765566366212862,0.19554871911401148,0.3074210227072775,0.31899598267701296,0.3014861785613739
15,IAND,A_l,0.07970247196184622,0.11328418727393624,0.1748136464539949,0.20010284045795063,0.3138446979694538,0.3208725387985642,0.30445160736908783
16,IAND,A_l,0.07978894353449882,0.11641138308757062,0.18830565289334134,0.20358333072146853,0.31822397043039136,0.32493288882143856,0.3043273375914977
17,IAND,A_l,0.0790164485439524,0.11274719184583373,0.19321137720400147,0.20763551007519973,0.3257907489398578,0.33143698202597127,0.3094757355011261
18,IAND,A_l,0.08233612641557915,0.12073266022914167,0.20436971681612032,0.21819706650467605,0.32714946849926096,0.3348821691564611,0.31367066529420046
19,IAND,A_l,0.08832095966145799,0.12738164158554766,0.2129490783622673,0.22450192769368488,0.3299831356014218,0.3383174586940456,0.31759890994510137
20,IAND,A_l,0.09189186923138731,0.1339286549671276,0.21762557931848475,0.2229097899015959,0.3317266928183065,0.3406513660877674,0.3195905255841779
21,IAND,A_l,0.09095224858941259,0.1306482156117757,0.2211559248400164,0.22964875332944035,0.3341394716554934,0.3413154670784065,0.3199517877252252
22,IAND,A_l,0.08462741246094575,0.14088563500223933,0.22540867436039558,0.23530207453547297,0.33882687542889567,0.3425031782270551,0.3218191335867117
23,IAND,A_l,0.08354168928958275,0.15249525695233732,0.2381488267365877,0.24067358927683788,0.3405448982307503,0.34248888170396957,0.3240328951998874
24,IAND,A_l,0.08687160331923682,0.16100866354263582,0.23829126143240711,0.2427497554469753,0.34537629823426935,0.34484533361486486,0.32577597128378377
25,IAND,A_l,0.09461264674727982,0.16984360121391914,0.24789807817957418,0.24854035420460746,0.34418181685714033,0.3467793507618947,0.32967342342342343
26,IAND,A_l,0.08879250395405401,0.1806357953999494,0.24926596074490934,0.2534741668013839,0.347738351907816,0.35365377890097127,0.3296728735571509
27,IAND,A_l,0.09200407255877247,0.1769174541439022,0.25292326093793993,0.2654176059069934,0.3515745970579955,0.3591090021906672,0.33251238298845726
